"model_id","team_abbr","model_abbr","team_name","model_name","designated_model","methods","methods_long","ensemble_of_models","mechanistic","ai_ml","stat"
"CADPH-FluCAT_Ensemble","CADPH","FluCAT_Ensemble","California Department of Public Health","FluCAT Ensemble",TRUE,"an ensemble of several time series forecasts including; (1) autoregressive integrated moving average (arima), which uses a weighted linear sum of recent past observations or lags, (2) exponential smoothing (ets), which uses weighted averages of past observations, with the weights decaying exponentially as the observations get older, and (3) neural networks using the forecast package in r.","An ensemble of several time series forecasts including; (1) autoregressive integrated moving average (ARIMA), which uses a weighted linear sum of recent past observations or lags, (2) exponential smoothing (ETS), which uses weighted averages of past observations, with the weights decaying exponentially as the observations get older, and (3) neural networks using the forecast package in R.",TRUE,FALSE,TRUE,TRUE
"CEPH-Rtrend_fluH","CEPH","Rtrend_fluH","CEPH Lab at Indiana University","Rtrend FluH",TRUE,"model forecasts are obtained by using a renewal equation based on the estimated net reproduction number rt. we apply a lowpass filter to the time series of daily hospitalizations, extracting the main trend. we then estimate the posterior distribution of rt based on the filtered data, considering an informed prior on rt based on influenza literature. the estimated rt in the last weeks of available data is used to forecast rt in the upcoming weeks, with a drift term proportional to the current incidence. finally, we use the renewal equation with the posterior distribution and trend of the estimated rt in the most recent weeks of influenza data.","Model forecasts are obtained by using a renewal equation based on the estimated net reproduction number Rt. We apply a lowpass filter to the time series of daily hospitalizations, extracting the main trend. We then estimate the posterior distribution of Rt based on the filtered data, considering an informed prior on Rt based on influenza literature. The estimated Rt in the last weeks of available data is used to forecast Rt in the upcoming weeks, with a drift term proportional to the current incidence. Finally, we use the renewal equation with the posterior distribution and trend of the estimated Rt in the most recent weeks of influenza data.",FALSE,TRUE,FALSE,FALSE
"cfa-flumech","cfa","flumech","Center for Forecasting and Outbreak Analytics (CFA/CDC); SEIR model team","flu-mechanistic",TRUE,"a mechanistic model generates infections for each day in season for three age groups (children, adults and 65+ elderly) and three flu subtypes (h1n1pdm09, h3n2, b), some of these infections lead to observed data (with delays). the observed data used to calculate the log-likelihood is daily hhs incident hospitalisations per day, weekly flu a/b test positives from clinical labs, and total test distribution across ages and flu subtypes from public health labs.","A mechanistic model generates infections for each day in season for three age groups (children, adults and 65+ elderly) and three flu subtypes (H1N1pdm09, H3N2, B), some of these infections lead to observed data (with delays). The observed data used to calculate the log-likelihood is daily HHS incident hospitalisations per day, weekly flu A/B test positives from clinical labs, and total test distribution across ages and flu subtypes from Public Health labs.",FALSE,TRUE,FALSE,FALSE
"cfarenewal-cfaepimlight","cfarenewal","cfaepimlight","Center for Forecasting and Outbreak Analytics (CFA/CDC); renewal model team","cfa-flu-epidemia-light",TRUE,"semi-mechanistic renewal equation model with day-of-week observation effects and a simple population size adjustment. r(t) extrapolation via a weekly random walk. model developed and fit using the epidemia package for r and stan; see documentation: https://imperialcollegelondon.github.io/epidemia/articles/model-description.html","Semi-mechanistic renewal equation model with day-of-week observation effects and a simple population size adjustment. R(t) extrapolation via a weekly random walk. Model developed and fit using the Epidemia package for R and Stan; see documentation: https://imperialcollegelondon.github.io/epidemia/articles/model-description.html",FALSE,TRUE,FALSE,TRUE
"CFA_Pyrenew-Pyrenew_E_Flu","CFA_Pyrenew","Pyrenew_E_Flu","Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team","Pyrenew_ED_Visits_Flu",FALSE,"renewal model fit to emergency department visits and used to forecast proportion of ed visits target (nssp) signal.","Renewal model fit to emergency department visits and used to forecast proportion of ed visits target (NSSP) signal.",FALSE,TRUE,FALSE,FALSE
"CFA_Pyrenew-Pyrenew_HE_Flu","CFA_Pyrenew","Pyrenew_HE_Flu","Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team","Pyrenew_Hospital_Admissions_ED_Visits_Influenza",TRUE,"renewal model fit to two signals and used to forecast the target (nhsn hrd) signal.","Renewal model fit to two signals and used to forecast the target (NHSN HRD) signal.",FALSE,TRUE,FALSE,FALSE
"CFA_Pyrenew-Pyrenew_H_Flu","CFA_Pyrenew","Pyrenew_H_Flu","Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team","Pyrenew_Hospital_Admissions_Influenza",FALSE,"simple renewal model fit only to the target signal. used to benchmark related multi-signal models the same framework with additional observables.","Simple renewal model fit only to the target signal. Used to benchmark related multi-signal models the same framework with additional observables.",FALSE,TRUE,FALSE,FALSE
"CMU-climate_baseline","CMU","climate_baseline","Carnegie Mellon Delphi Group","climatological baseline",FALSE,"using data from 2022 onwards, the climatological model uses samples from the 7 weeks centered around the target week and reference week to form the quantiles for the target week, as one might use climate information to form a meteorological forecast. to get more variation at some potential issue of generalization, one can form quantiles after aggregating across geographic values as well as years (after converting to a rate based case count). this model uses a simple average of the geo-specific quantiles and the geo-aggregated quantiles.","Using data from 2022 onwards, the climatological model uses samples from the 7 weeks centered around the target week and reference week to form the quantiles for the target week, as one might use climate information to form a meteorological forecast. To get more variation at some potential issue of generalization, one can form quantiles after aggregating across geographic values as well as years (after converting to a rate based case count). This model uses a simple average of the geo-specific quantiles and the geo-aggregated quantiles.",TRUE,FALSE,FALSE,TRUE
"CMU-TimeSeries","CMU","TimeSeries","Carnegie Mellon Delphi Group","AR ensemble with auxiliary data",TRUE,"a basic quantile auto-regression fit using lagged values of influenza-related hospitalization counts (normalized by population). the data are whitened so that the historical flusurv and ili data can be used to augment the number of training examples. the model is fit jointly across all 50 us states, the district of columbia, puerto rico, and the virgin islands, using a window of data 7 weeks centered on the forecast date, including all past years. each of the 23 quantiles is learned using a separate quantile regression with nonnegativity and quantile sorting constraints applied post hoc. all data signals are available as indicators through the delphi epidata api (https://cmu-delphi.github.io/delphi-epidata). this model is averaged with both a climatological model and a simple linear model, with the weight on the windowed seasonal model above being ~6 times that of either the linear or climatological model. ","A basic quantile auto-regression fit using lagged values of influenza-related hospitalization counts (normalized by population). The data are whitened so that the historical flusurv and ILI data can be used to augment the number of training examples. The model is fit jointly across all 50 US states, the District of Columbia, Puerto Rico, and the Virgin Islands, using a window of data 7 weeks centered on the forecast date, including all past years. Each of the 23 quantiles is learned using a separate quantile regression with nonnegativity and quantile sorting constraints applied post hoc. All data signals are available as indicators through the Delphi Epidata API (https://cmu-delphi.github.io/delphi-epidata). This model is averaged with both a climatological model and a simple linear model, with the weight on the windowed seasonal model above being ~6 times that of either the linear or climatological model. ",TRUE,FALSE,FALSE,TRUE
"Cornell_JHU-hierarchSIR","Cornell_JHU","hierarchSIR","Cornell_JHU","hierarchSIR",TRUE,"an sir model with unknown case ascertainment, basic reproduction number, population immunity and a splined effective reproduction number is used to model seasonal influenza dynamics in a given season. across-season trends ('hyperparameters') in the sir model's parameters are derived by wrapping it in an across-season bayesian hierarchical model. hyperparameters are used as priors when forecasting the current season. disease model integrated in c++ and bound to python with pybind11, bayesian hierarchical posterior probability coded in raw python and sampled using the ensemble sampler of goodman and weare available in `emcee` (motivation: computationally inefficient but amazingly robust). workflow automatically pulls nhsn hrd data through a timed gh actions and deploys it on a local runner (dell optiplex 3050 micro running ubuntu server). average time from data pull to forecast ready: 3 hours.","An SIR model with unknown case ascertainment, basic reproduction number, population immunity and a splined effective reproduction number is used to model seasonal influenza dynamics in a given season. Across-season trends ('hyperparameters') in the SIR model's parameters are derived by wrapping it in an across-season Bayesian hierarchical model. Hyperparameters are used as priors when forecasting the current season. Disease model integrated in C++ and bound to Python with pybind11, Bayesian hierarchical posterior probability coded in raw Python and sampled using the ensemble sampler of Goodman and Weare available in `emcee` (motivation: computationally inefficient but amazingly robust). Workflow automatically pulls NHSN HRD data through a timed GH actions and deploys it on a local runner (Dell Optiplex 3050 Micro running Ubuntu Server). Average time from data pull to forecast ready: 3 hours.",FALSE,TRUE,FALSE,TRUE
"CU-ARNB_Net","CU","ARNB_Net","Columbia University/University of Haifa","Anchored Residual Negative Binomial Neural Network",FALSE,"an anchored residual neural network that produces probabilistic influenza hospitalization forecasts using a negative binomial output distribution. predicts log-space changes relative to recent observations, using lag features, seasonal encodings, and growth indicators.","An anchored residual neural network that produces probabilistic influenza hospitalization forecasts using a Negative Binomial output distribution. Predicts log-space changes relative to recent observations, using lag features, seasonal encodings, and growth indicators.",FALSE,FALSE,TRUE,FALSE
"CU-ensemble","CU","ensemble","Columbia University","Ensemble",TRUE,"the dynamical model simulates influenza transmission in each state and the us using a humidity-driven sir dynamics. model variables and parameters are sequentially updated each week using the ensemble adjustment kalman filter and new observations. forecasts are generated by integrating the optimized model into the future. four statitical models are included in the ensemble: a seasonal-drift model - a random drift model where the mean and variance of the drift for each week and location are derived by sampling first-order lags in incidence from historical data where sampling is performed using a window around the current week of the year (e.g., during epiweek 47, the model samples from a window around epiweek 47 in previous years). two statistical models implemented within the python library darts are employed: 1) holt winter’s exponential smoothing (es), a classical statistical model that decomposes a time series to a baseline, trend and seasonal components, 2) light gradient boosting machine (lightgbm), a ml ensemble decision tree method designed for classification and regression tasks that has been effectively adapted for time series forecasting. the fifth model used is an anchored residual neural network (see details in seperate cu-arnb-nn model). past years ili data is transformed to resemble hospitalization data and is used to train the models. labratory data is optionally used as covariate with model fitting and predicitons. to build the ensemble, the predictions of the component models are weighted using the sum of inverse wis scores over past weeks, with greater importance given to more recent weeks. the period for calculating weights is horizon-specific and includes only the weeks where wis scores could be evaluated (e.g., weights for the 4-week horizon are calculated using a longer historical window than those for the 1-week horizon). the weights are location-specific and are recomputed for each forecast week. peak week distribution and incidence is obtained by combining forecasts of the seasonal-drift model and the sir-eakf model.","The dynamical model simulates influenza transmission in each state and the US using a humidity-driven SIR dynamics. Model variables and parameters are sequentially updated each week using the ensemble adjustment Kalman filter and new observations. Forecasts are generated by integrating the optimized model into the future. Four statitical models are included in the ensemble: A seasonal-drift model - a random drift model where the mean and variance of the drift for each week and location are derived by sampling first-order lags in incidence from historical data where sampling is performed using a window around the current week of the year (e.g., during epiweek 47, the model samples from a window around epiweek 47 in previous years). Two statistical models implemented within the python library darts are employed: 1) Holt Winter’s Exponential Smoothing (ES), a classical statistical model that decomposes a time series to a baseline, trend and seasonal components, 2) Light Gradient Boosting Machine (LightGBM), a ML ensemble decision tree method designed for classification and regression tasks that has been effectively adapted for time series forecasting. The fifth model used is an anchored residual neural network (see details in seperate CU-ARNB-NN model). Past years ILI data is transformed to resemble hospitalization data and is used to train the models. Labratory data is optionally used as covariate with model fitting and predicitons. To build the ensemble, the predictions of the component models are weighted using the sum of inverse WIS scores over past weeks, with greater importance given to more recent weeks. The period for calculating weights is horizon-specific and includes only the weeks where WIS scores could be evaluated (e.g., weights for the 4-week horizon are calculated using a longer historical window than those for the 1-week horizon). The weights are location-specific and are recomputed for each forecast week. Peak week distribution and incidence is obtained by combining forecasts of the seasonal-drift model and the SIR-EAKF model.",TRUE,TRUE,TRUE,TRUE
"DMAPRIME-DLM","DMAPRIME","DLM","CPHMR, Clemson University","Dynamic Linear Regression",TRUE,"the dynamic linear model (dlm) is a state-space time series model that captures evolving patterns through unobserved components including level, trend, and seasonality. unlike static regression, dlm allows parameters to adapt over time via kalman filtering, making it well-suited for modeling non-stationary disease dynamics. the model incorporates exogenous covariates such as lagged ehr positive tests, inpatient hospitalizations, and holiday indicators to enhance predictive accuracy for weekly influenza hospital admissions. ehr covariates from regional health systems serve as leading indicators. the model employs a recursive multi-horizon forecasting strategy where a 1-step ahead model is iteratively applied to generate forecasts for h=0,1,2,3 (1-4 weeks ahead).","The Dynamic Linear Model (DLM) is a state-space time series model that captures evolving patterns through unobserved components including level, trend, and seasonality. Unlike static regression, DLM allows parameters to adapt over time via Kalman filtering, making it well-suited for modeling non-stationary disease dynamics. The model incorporates exogenous covariates such as lagged EHR positive tests, inpatient hospitalizations, and holiday indicators to enhance predictive accuracy for weekly influenza hospital admissions. EHR covariates from regional health systems serve as leading indicators. The model employs a recursive multi-horizon forecasting strategy where a 1-step ahead model is iteratively applied to generate forecasts for h=0,1,2,3 (1-4 weeks ahead).",FALSE,TRUE,FALSE,TRUE
